Timestamp,"Факултетен номер","Номер на въпроса","Цел на въпроса",Въпрос,"Опция 1","Опция 2","Опция 3","Опция 4","Верен отговор","Ниво на трудност","Обратна връзка при верен отговор","Обратна връзка при грешен отговор",Забележка,"Тип на въпроса"
38,81493,1,"Да провери предварителните знания на колегите","Какво е SSL","Интернет протокол","Вид сертификат","Софтуерна архитектура","Наследник на TLS",1,1,"Поздравления, вашият отговор е верен! За повече информация виж секция ""Какво е SSL?"" от реферата.","Опитайте отново. За повече информация виж секция ""Какво е SSL?"" от реферата.",https://www.digicert.com/ssl/,1
39,81493,2,"Проверка на вниманието по време на представянето.","Кой ключ се съдържа в SSL сертификата?",публичен,личен,частен,симетричен,1,3," Поздравления, вашият отговор е верен! За повече информация виж секция ""Какво е SSL сертификат и как работи той?"" от реферата.","Опитайте отново. За повече информация виж секция ""Какво е SSL сертификат и как работи той?"" от реферата.",https://www.cloudflare.com/learning/ssl/what-is-an-ssl-certificate/,2
40,81493,3,"Проверка на знанията след представянето","Как можем да проверим, дали сертификата е фалшив?","Проверяваме дигиталния подпис на издателя на сертификата","Проверяваме името на издателя на сертификата","Проверяваме ключа от сертификата","НЕ можем да проверим",1,4," Поздравления, вашият отговор е верен! За повече информация виж секция ""Какво е SSL сертификат и как работи той?"" от реферата.","Опитайте отново. За повече информация виж секция ""Какво е SSL сертификат и как работи той?"" от реферата.",https://www.embedded-computing.com/guest-blogs/how-ssl-certificate-validation-works,3
41,81493,4,"Проверка на знанията след представянето","Какво не се среща във верига сертификати?","Временен сертификат","Коренов сертификат","Сертификат издаден за съответния субект","Междинен сертификат",1,3," Поздравления, вашият отговор е верен! За повече информация виж секция ""Какво е SSL сертификат и как работи той?"" от реферата.","Опитайте отново. За повече информация виж секция ""Какво е SSL сертификат и как работи той?"" от реферата.",https://www.digicert.com/ssl/,3
42,81493,5,"Проверка на знанията след представянето","Как LetsEncript разпознава сървърния администратор?","По публичния му ключ","По частния му ключ","По идентификационна карта","Не се познават",1,3," Поздравления, вашият отговор е верен! За повече информация виж секция ""Създаване на сертификат с помощта на LetsEncript"" от реферата.","Опитайте отново. За повече информация виж секция ""Създаване на сертификат с помощта на LetsEncript"" от реферата.

",https://letsencrypt.org/how-it-works/,3
43,81493,6,"Проверка на знанията след представянето","Как сървърният администратор доказва собствеността си над example.com","Изпълнява предизвикателство предложено от LetsEncript","Заплаща еднократна такса","Чрез DNS record","Вярват му достатъчно, за да не го проверят",1,3," Поздравления, вашият отговор е верен! За повече информация виж секция ""Създаване на сертификат с помощта на LetsEncript"" от реферата.","Опитайте отново. За повече информация виж секция ""Създаване на сертификат с помощта на LetsEncript"" от реферата.",https://letsencrypt.org/how-it-works/,3
44,81493,7,"Проверка на знанията след представянето","На какво трябва да съответства Common Name(CN)","Адреса, който ще достъпваме през браузъра","Името на уебсайта","Името на организацията, собственик на уебсайта","Няма значиние каква е стойността му, то е просто псевдоним",1,5," Поздравления, вашият отговор е верен! За повече информация виж секция ""Конфигуриране на SSL за XAMPP"" от реферата.","Опитайте отново. За повече информация виж секция ""Конфигуриране на SSL за XAMPP"" от реферата.",https://medium.com/@pradeepkumarpandey/how-to-buy-ssl-certificate-and-install-on-server-using-nginx-on-ubuntu-14-04-299b8af01c98,3
45,81493,8,"Проверка на знанията след представянето","Защо е нужно да инсталираме самоподписания ни сертификат в браузъра?","Браузъра не го разпознава и ще ни дава предупреждения за опасност","Всички сертификати трябва да се инсталират","За да се подсигурим, че сертификата се е създал правилно","За да се разпространи по мрежата и да може да го използваме навсякъде",1,4," Поздравления, вашият отговор е верен! За повече информация виж секция ""Конфигуриране на SSL за XAMPP"" от реферата.","Опитайте отново. За повече информация виж секция ""Конфигуриране на SSL за XAMPP"" от реферата.","http://robsnotebook.com/xampp-ssl-encrypt-passwords/
https://www.digicert.com/ssl/",3
46,81493,9,"Проверка на знанията след представянето","Каква директива се използва за конфигуриране на Apache да направи определени директории достъпни само чрез SSL криптиране?",SSLRequireSSL,SSLOnly,RequireSSL,OnlySSL,1,4," Поздравления, вашият отговор е верен! За повече информация виж секция ""Конфигуриране на SSL за XAMPP"" от реферата.","Опитайте отново. За повече информация виж секция ""Конфигуриране на SSL за XAMPP"" от реферата.",http://robsnotebook.com/xampp-ssl-encrypt-passwords/,3
47,81493,10,"Проверка на знанията след представянето","Какво постигаме чрез пренасочването на http към https","Продължаваме да използваме http в началото на адреса, а в същото време автоматично се преминава към https и криптиране","Забраняваме http трафика и позволяваме само https","Имаме два сървъра, един за http и един за https","Клонираме заявките и ги изпращаме чрез двата протокола",1,4," Поздравления, вашият отговор е верен! За повече информация виж секция ""Конфигуриране на SSL за XAMPP"" от реферата.","Опитайте отново. За повече информация виж секция ""Конфигуриране на SSL за XAMPP"" от реферата.",http://robsnotebook.com/xampp-ssl-encrypt-passwords/,3
